,Canton,Income,Swiss taxes,US Taxes
133,Uri,200000,25305.0,40369.0
134,Schwyz,200000,21763.0,40369.0
135,Obwalden,200000,24580.0,40369.0
136,Nidwalden,200000,25161.0,40369.0
137,Glarus,200000,29239.0,40369.0
138,Zug,200000,12945.0,40369.0
139,Fribourg,200000,33193.0,40369.0
140,Solothurn,200000,35145.0,40369.0
141,Basel-Stadt,200000,34741.0,40369.0
142,Basel-Landschaft,200000,34724.0,40369.0
143,Schaffhausen,200000,31081.0,40369.0
144,Appenzell Ausserrhoden,200000,32584.0,40369.0
145,Appenzell Innerrhoden,200000,25338.0,40369.0
146,St. Gallen,200000,34110.0,40369.0
147,Graubünden,200000,28380.0,40369.0
148,Aargau,200000,29390.0,40369.0
149,Thurgau,200000,28649.0,40369.0
150,Ticino,200000,30018.0,40369.0
151,Vaud,200000,33756.0,40369.0
152,Valais,200000,28603.0,40369.0
153,Neuchâtel,200000,38579.0,40369.0
154,Genève,200000,30147.0,40369.0
155,Jura,200000,36508.0,40369.0
156,Zürich,500000,131160.0,128800.0
157,Bern,500000,147651.0,128800.0
158,Luzern,500000,120549.0,128800.0
159,Uri,500000,100476.0,128800.0
160,Schwyz,500000,94544.0,128800.0
161,Obwalden,500000,95841.0,128800.0
162,Nidwalden,500000,103549.0,128800.0
163,Glarus,500000,122550.0,128800.0
164,Zug,500000,86487.0,128800.0
165,Fribourg,500000,146582.0,128800.0
166,Solothurn,500000,142012.0,128800.0
167,Basel-Stadt,500000,134161.0,128800.0
168,Basel-Landschaft,500000,148670.0,128800.0
169,Schaffhausen,500000,134367.0,128800.0
170,Appenzell Ausserrhoden,500000,127336.0,128800.0
171,Appenzell Innerrhoden,500000,103297.0,128800.0
172,St. Gallen,500000,140559.0,128800.0
173,Graubünden,500000,123113.0,128800.0
174,Aargau,500000,125877.0,128800.0
175,Thurgau,500000,121135.0,128800.0
176,Ticino,500000,140326.0,128800.0
177,Vaud,500000,151189.0,128800.0
178,Valais,500000,135075.0,128800.0
179,Neuchâtel,500000,152594.0,128800.0
180,Genève,500000,139733.0,128800.0
181,Jura,500000,150843.0,128800.0
