,Canton,Income,Swiss taxes,US Taxes
131,Bern,200000,49472.0,45015.5
132,Luzern,200000,39562.0,45015.5
133,Uri,200000,33793.0,45015.5
134,Schwyz,200000,31187.0,45015.5
135,Obwalden,200000,32005.0,45015.5
136,Nidwalden,200000,35431.0,45015.5
137,Glarus,200000,40273.0,45015.5
138,Zug,200000,29464.0,45015.5
139,Fribourg,200000,50885.0,45015.5
140,Solothurn,200000,49250.0,45015.5
141,Basel-Stadt,200000,47051.0,45015.5
142,Basel-Landschaft,200000,51708.0,45015.5
143,Schaffhausen,200000,46488.0,45015.5
144,Appenzell Ausserrhoden,200000,43372.0,45015.5
145,Appenzell Innerrhoden,200000,34859.0,45015.5
146,St. Gallen,200000,49937.0,45015.5
147,Graubünden,200000,42250.0,45015.5
148,Aargau,200000,42936.0,45015.5
149,Thurgau,200000,41364.0,45015.5
150,Ticino,200000,45724.0,45015.5
151,Vaud,200000,51873.0,45015.5
152,Valais,200000,50453.0,45015.5
153,Neuchâtel,200000,53507.0,45015.5
154,Genève,200000,49684.0,45015.5
155,Jura,200000,52658.0,45015.5
156,Zürich,500000,154145.0,149795.0
157,Bern,500000,165637.0,149795.0
158,Luzern,500000,132270.0,149795.0
159,Uri,500000,109417.0,149795.0
160,Schwyz,500000,102544.0,149795.0
161,Obwalden,500000,103719.0,149795.0
162,Nidwalden,500000,110964.0,149795.0
163,Glarus,500000,139994.0,149795.0
164,Zug,500000,96702.0,149795.0
165,Fribourg,500000,156456.0,149795.0
166,Solothurn,500000,154235.0,149795.0
167,Basel-Stadt,500000,155778.0,149795.0
168,Basel-Landschaft,500000,169564.0,149795.0
169,Schaffhausen,500000,142985.0,149795.0
170,Appenzell Ausserrhoden,500000,134804.0,149795.0
171,Appenzell Innerrhoden,500000,110092.0,149795.0
172,St. Gallen,500000,152125.0,149795.0
173,Graubünden,500000,138707.0,149795.0
174,Aargau,500000,143517.0,149795.0
175,Thurgau,500000,136473.0,149795.0
176,Ticino,500000,155846.0,149795.0
177,Vaud,500000,176758.0,149795.0
178,Valais,500000,156617.0,149795.0
179,Neuchâtel,500000,161776.0,149795.0
180,Genève,500000,168338.0,149795.0
181,Jura,500000,170274.0,149795.0
